"","id","doubs_dem","carea","cslope","dfs","alt","slo","flo","pH","har","pho","nit","amm","oxy","bdo","fish_abund","q_class","dist_Q1","dist_Q2","dist_Q3","dist_Q4","dist_Q5","dist_Q6","dist_Q7","dist_Q8","dist_Q9","dist_Q10","dist_Q11","dist_Q12","dist_Q13","dist_Q14","dist_Q15","dist_Q16"
"14",15,812.002319335938,39882.66796875,0.19903601706028,1645,415,1.792,2300,86,86,40,100,0,117,21,33,"(28,33.8]",26373.729805167,42667.8616625709,70450.7689540845,14970.7236823658,8448.99885603171,33354.5563429878,24425.2048454499,9947.83937146289,391.634588441213,5400.92422880779,11022.0438642531,24137.2227439634,25157.7754157001,24396.4557041961,32156.2952209687,87561.8542408131
"15",16,438.075103759766,98587.71875,0.268830567598343,1859,375,3.045,1610,80,88,20,200,5,103,27,40,"(33.8,41]",28722.0614370205,51124.3019267075,78887.5346578543,23377.465270511,333.783785089078,41824.0965051199,32928.4376742676,17832.4477941828,8809.9464900666,8197.21944405969,15984.136354649,29871.6044695723,30150.2743659934,28317.63475405,34459.4324459471,93966.8762435754
"16",17,597.60107421875,16291.5048828125,0.33317244052887,1985,348,1.792,2430,80,92,20,250,20,102,46,44,"(43.2,46]",21554.3422072283,44241.642596435,71848.266967329,16819.1095287341,8322.51534511419,35053.0422381412,26391.4247111624,10755.2413967613,5612.09579750935,435.779138061724,7738.39886370499,21628.2180136047,21991.4623747878,20433.3216554963,27370.6320288271,85720.814967336
"17",18,574.399780273438,13483.7314453125,0.525481700897217,2110,332,2.197,2500,80,90,50,220,20,103,28,42,"(41,43.2]",15499.1136127402,37907.1448643686,65093.0396280814,12460.2972759544,16565.539886286,29054.7154835191,21088.6839063461,7025.25733855789,11017.0813432146,7305.07767497234,522.512146814591,13388.311144482,13935.9172794165,13005.8767366973,21138.8389184015,77474.7856166965
"18",19,481.051300048828,27721.767578125,0.373707234859467,2246,310,1.792,2590,81,84,60,220,15,106,33,46,"(43.2,46]",12696.4142543027,32834.5650315894,59286.1876177701,12241.9749218357,23838.5405117257,24643.3823599276,18080.1973534862,10021.3940736549,17636.2486170962,436.68985272002,7793.19996243733,6162.92768816225,7325.10446097129,8149.79731434834,17340.9133495116,70197.4616917435
"19",20,492.969879150391,144049.109375,0.237814754247665,2477,286,2.197,2680,80,86,30,300,30,103,28,56,"(46,60.5]",12622.5293673737,29931.0262615006,55205.8097335103,15575.4124692564,29907.1953692629,19844.8445506777,18279.3563345274,15279.9770972447,23609.6601535992,6037.14134442698,13848.7391901591,423.939921468969,3496.54945137579,7208.8107651922,15435.066528611,64138.2249829575
"20",21,504.123413085938,5089.95458984375,0.175755992531776,2812,262,2.398,2720,79,85,20,220,10,90,41,62,"(60.5,66.5]",9767.94348847011,32642.838648892,57338.0616541425,18276.5889426837,30373.2182097319,17755.679151463,21439.0623253025,17199.5112130132,24788.0207968473,7048.79900279518,14466.6026615429,2738.33779378845,376.701077190216,4502.71462872498,12273.6296745277,64012.0717634329
"21",22,371.143676757812,64121.15625,0.282111495733261,2940,254,2.708,2790,81,88,20,162,7,91,48,72,"(66.5,75.8]",5597.96459604836,36971.621739814,61808.9163216497,20001.3817728498,28148.5693597187,18858.7903507762,24699.8707818679,17519.5343807837,23659.1408246726,7408.06396800092,13019.6682849755,6694.47464177964,4111.35876691763,362.845337462892,9541.24906054956,67202.5273420798
"22",23,405.789611816406,9569.423828125,0.186210304498672,3043,246,2.565,2880,81,97,260,350,115,63,164,4,"[3,9.25]",439.621462045209,42840.8059199359,67170.8396071109,25167.3695534555,28843.3382260361,19225.5927497799,30576.9844990137,21735.1146153016,26064.8466949553,12565.1067842803,15831.7176122173,12648.6762715473,9821.37190001126,5832.23550800967,5844.0012455502,69512.3039754225
"23",24,440.50537109375,31417.607421875,0.0641081556677818,3147,241,1.386,2976,80,99,140,250,60,52,123,15,"(14,15]",6304.80843871416,44094.3221177222,66689.8857244566,29996.5768471881,35141.1522670913,14179.1850854071,34082.656805515,27298.4455503156,32288.7854347429,17396.5380021047,21892.0682943985,15387.4484283909,12320.9612548744,9669.7665196873,494.784768004053,65060.5797805129
"24",25,338.955230712891,267160.84375,0.196896061301231,3278,231,1.792,3870,79,100,422,620,180,41,167,11,"(9.25,11.5]",19168.4194599561,39522.2345701883,57491.9881367558,35545.1611224808,47203.0264313499,283.189161184841,35799.3797686411,35207.7836234048,42565.1852076482,25044.3846372934,23249.3798593067,19827.2516639462,17973.4280633184,18771.7034486076,14597.161416861,50787.3820705852
"25",26,556.899475097656,6043.0400390625,0.160680189728737,3579,214,1.792,3910,79,94,143,300,30,62,89,43,"(41,43.2]",41843.1002547868,36372.3394455428,45758.1876645129,49652.2976533042,53672.8733039391,23438.6991288629,46702.7378913433,52808.3731628556,61684.1793076073,44090.3739640362,77.9293227881228,38018.6669485829,10531.4113846282,17965.7065584802,37837.6565243574,27471.0402702384
"26",27,389.753631591797,84267.7734375,0.152778699994087,3732,206,2.565,3960,81,90,58,300,26,72,63,63,"(60.5,66.5]",52613.4212209416,39496.285780016,45327.4726456474,48787.6911019841,52149.4873666496,34127.3396012369,55454.5782484689,62884.4398437733,71954.0355524888,54522.1531038955,10847.4964961512,48435.1071790476,419.058727987992,7250.6426049628,48559.5797806719,16839.4843281489
"27",28,239.362442016602,64378.34375,0.155256122350693,3947,195,1.386,4320,83,100,74,400,30,81,45,70,"(66.5,75.8]",58890.6446840118,41670.9568857215,44973.5409345456,48037.3202412947,50863.8640243392,41305.3475748374,60835.9876896332,69179.1989991757,78389.740242192,61142.6226808808,17964.5406965468,55059.705270432,7390.11006569164,347.425224298969,55722.6016348981,9628.40314041613
"28",29,261.986663818359,2720.662109375,0.0118892341852188,4220,183,1.946,6770,78,110,45,162,10,90,42,87,"(75.8,89]",57077.5929943215,46321.3870852909,46505.4829850405,48951.0842891232,50980.297284508,50726.551809444,68540.56103202,77766.9597973811,87097.7680138016,70067.7018426428,27370.0766499488,64003.5287697311,16823.0416684206,9398.87503405005,65131.7809342024,316.343672201312
"29",30,274.573944091797,10489.642578125,0.0535352043807507,4530,172,1.099,6900,82,109,65,160,10,82,44,89,"(75.8,89]",54583.6721365598,50829.437608502,47908.1609402346,49618.1723639617,50738.5701549294,60316.7997518059,75764.4099628138,85976.0036247517,95430.5924204715,78749.4378757351,36965.3915880978,72733.8228070113,26548.2188772594,19211.3279769458,74661.9596707003,641.621718550834
